iter	Logloss
0	0.65672284
1	0.6286144694
2	0.6072507585
3	0.5858066935
4	0.5692373755
5	0.5545191214
6	0.543527833
7	0.5326830222
8	0.521966405
9	0.512882089
10	0.5041486393
11	0.4972149291
12	0.4885389471
13	0.4814331074
14	0.4741705729
15	0.4685664679
16	0.4591750929
17	0.4539235604
18	0.4491108664
19	0.4428959668
20	0.4389962
21	0.4343578808
22	0.4290282747
23	0.4234278036
24	0.4185534614
25	0.412371465
26	0.4095339249
27	0.4066589249
28	0.4035775355
29	0.398145598
30	0.3939072789
31	0.3900088153
32	0.384648342
33	0.3822679805
34	0.3780199484
35	0.3779486505
36	0.374179083
37	0.3711279859
38	0.3687872425
39	0.365763672
40	0.3629151032
41	0.3610525612
42	0.3587038107
43	0.3564513154
44	0.3537103602
45	0.3499198647
46	0.3464408987
47	0.3437127864
48	0.3420756318
49	0.3394080803
50	0.3382876892
51	0.3343895502
52	0.3326877879
53	0.3314011075
54	0.3293658045
55	0.3263633929
56	0.3248500249
57	0.3235839843
58	0.3227485375
59	0.3211592954
60	0.3199578393
61	0.3174680681
62	0.317280537
63	0.316067339
64	0.3143692524
65	0.312973365
66	0.31133777
67	0.3103170027
68	0.3084576544
69	0.3062144034
70	0.3062076248
71	0.3051288861
72	0.3035083462
73	0.3024569549
74	0.3002733361
75	0.2964953145
76	0.2945129072
77	0.2930574872
78	0.2902416485
79	0.288008689
80	0.2864454627
81	0.2848306917
82	0.2818824954
83	0.2805258166
84	0.2790731022
85	0.2777984702
86	0.2767967673
87	0.2752414737
88	0.2735852075
89	0.270981789
90	0.2695050306
91	0.2667275894
92	0.2652558974
93	0.2635053318
94	0.2623805191
95	0.2617775532
96	0.2604330445
97	0.2595120847
98	0.2577669407
99	0.2567381065
100	0.2556723017
101	0.2528949979
102	0.2521542935
103	0.2512235063
104	0.2505833874
105	0.2492109826
106	0.2480339889
107	0.2458904922
108	0.2439134482
109	0.243020398
110	0.2415179749
111	0.2402777687
112	0.239681548
113	0.2389776209
114	0.2374490259
115	0.2367311465
116	0.2354660689
117	0.2345819862
118	0.2335150671
119	0.2327529856
120	0.2316083839
121	0.229912631
122	0.2291433933
123	0.2283840153
124	0.2266201504
125	0.2250963516
126	0.2241693721
127	0.2234368541
128	0.222154105
129	0.2205938343
130	0.2194493974
131	0.2179072942
132	0.2170802294
133	0.2162750414
134	0.2152841347
135	0.2144380056
136	0.2139301372
137	0.2129444501
138	0.2122211154
139	0.2112694315
140	0.2097746008
141	0.2086693975
142	0.207922176
143	0.2072780046
144	0.2063828085
145	0.2055279369
146	0.2041842605
147	0.2028421684
148	0.2021111256
149	0.2012828048
150	0.1991918683
151	0.1984997512
152	0.1979201236
153	0.197221581
154	0.1961323089
155	0.195417693
156	0.1940494206
157	0.1927898395
158	0.1919367928
159	0.1905182209
160	0.1899224806
161	0.1889535297
162	0.1880921639
163	0.1875607911
164	0.1864717667
165	0.1856055167
166	0.1845709366
167	0.1842046255
168	0.1835910248
169	0.1829691283
170	0.1825874855
171	0.1813937309
172	0.1806032087
173	0.1799289209
174	0.1796056584
175	0.1785936879
176	0.1781105924
177	0.1777758345
178	0.1766244647
179	0.1763366133
180	0.1758564125
181	0.1753565993
182	0.1743823152
183	0.1738932136
184	0.172722088
185	0.1717565537
186	0.1710994431
187	0.1707632182
188	0.169820508
189	0.1691092826
190	0.1685408659
191	0.1679930755
192	0.1668414164
193	0.1662355546
194	0.1656282877
195	0.1651711415
196	0.1640218897
197	0.1630800771
198	0.162570703
199	0.1622260869
200	0.161703746
201	0.1613062719
202	0.1606636506
203	0.1595461289
204	0.1588490157
205	0.1580673263
206	0.157864366
207	0.1576190028
208	0.1571750431
209	0.1568098523
210	0.1562210587
211	0.155100093
212	0.1545931261
213	0.1540671234
214	0.1536813778
215	0.1530689701
216	0.1526956405
217	0.1521941317
218	0.1518525936
219	0.1510362662
220	0.1505965553
221	0.1501972796
222	0.1498882465
223	0.1494878206
224	0.1492328907
225	0.148962932
226	0.1484376597
227	0.1482043559
228	0.1476573212
229	0.146821089
230	0.1462620395
231	0.145932962
232	0.1454765642
233	0.1448446195
234	0.1444470557
235	0.1438642708
236	0.1435058982
237	0.1427695348
238	0.1424852292
239	0.1422198356
240	0.1418063625
241	0.1413899539
242	0.1406779215
243	0.1403988171
244	0.1400658308
245	0.1397738277
246	0.1391949558
247	0.1388959229
248	0.1385549567
249	0.1382212488
250	0.1376905928
251	0.137429429
252	0.1372973568
253	0.1369000951
254	0.136449251
255	0.136187531
256	0.1357477747
257	0.1353217581
258	0.1349739612
259	0.1346451223
260	0.1342680199
261	0.1340140634
262	0.1336885314
263	0.1332670821
264	0.132747618
265	0.1322748186
266	0.131955849
267	0.1315995402
268	0.1313556356
269	0.130945468
270	0.1302634991
271	0.1298858473
272	0.1294109126
273	0.1290401516
274	0.1286341943
275	0.1282357061
276	0.1277543184
277	0.1275966289
278	0.127390195
279	0.1270589466
280	0.1268702914
281	0.1266079847
282	0.12639894
283	0.1257890909
284	0.1253692832
285	0.125048142
286	0.1244337885
287	0.1240675097
288	0.1236141896
289	0.1233948213
290	0.122996982
291	0.1223865855
292	0.1220614482
293	0.1217149243
294	0.1216041117
295	0.1213811861
296	0.1210541385
297	0.1207346373
298	0.1204803532
299	0.1203025345
300	0.1198863715
301	0.1195832651
302	0.1192102562
303	0.1190723809
304	0.1187689179
305	0.1185574487
306	0.1182217005
307	0.1179151837
308	0.1177377629
309	0.1173496087
310	0.1169482455
311	0.1166899007
312	0.1164081084
313	0.1162346856
314	0.1159301148
315	0.1156302865
316	0.1153190734
317	0.1151032124
318	0.114825949
319	0.1145035266
320	0.11427326
321	0.1139639032
322	0.1137815806
323	0.1134777147
324	0.1131288594
325	0.1129704145
326	0.1125207052
327	0.1122501306
328	0.1119833811
329	0.1117056783
330	0.1115462005
331	0.1113724825
332	0.1111427545
333	0.111013357
334	0.1108663507
335	0.1105650495
336	0.1103326432
337	0.1102372638
338	0.1099805124
339	0.1096795403
340	0.109459203
341	0.1092932933
342	0.1088858161
343	0.1083902554
344	0.1079649183
345	0.1076848985
346	0.1071126454
347	0.1068636606
348	0.1065660527
349	0.1062643918
350	0.1059494303
351	0.1057027854
352	0.1055800792
353	0.1054093143
354	0.105193897
355	0.105019476
356	0.104826297
357	0.1046821754
358	0.1045793004
359	0.1042435137
360	0.1040772992
361	0.1038251403
362	0.1035769692
363	0.1032552986
364	0.1030649448
365	0.1027768304
366	0.1025499434
367	0.1021855267
368	0.1020283019
369	0.101907764
370	0.1016426413
371	0.1013701871
372	0.1011572964
373	0.1008578569
374	0.100615271
375	0.1004905494
376	0.1003400192
377	0.1001838599
378	0.09999795671
379	0.0997948481
380	0.09961898547
381	0.09942490928
382	0.09912954974
383	0.09897243238
384	0.09876048095
385	0.09862190255
386	0.09838684375
387	0.09825164531
388	0.09802702677
389	0.09773222016
390	0.09754355656
391	0.09736055881
392	0.09720667059
393	0.09702696588
394	0.09681372914
395	0.09656034661
396	0.09636179943
397	0.09614396809
398	0.09594752747
399	0.09577659784
400	0.09568384239
401	0.0955826193
402	0.09541952161
403	0.09529122523
404	0.0951200972
405	0.09489209779
406	0.09479125498
407	0.09461088788
408	0.0945040539
409	0.09428146883
410	0.09410028274
411	0.09393101207
412	0.09373268591
413	0.09354384455
414	0.09343076944
415	0.09318383125
416	0.09301702564
417	0.09285189131
418	0.09268707787
419	0.09252039751
420	0.09236342603
421	0.09228032325
422	0.09214415168
423	0.09200368022
424	0.09186617949
425	0.09176179242
426	0.09168038291
427	0.09147629024
428	0.09133863646
429	0.09119464028
430	0.09101693805
431	0.0908932549
432	0.09071394153
433	0.09050687793
434	0.09036545868
435	0.09021006875
436	0.0901139019
437	0.09002476623
438	0.08993592483
439	0.08981969514
440	0.08961846944
441	0.0895018627
442	0.0893977732
443	0.08922951907
444	0.08916561562
445	0.0889471123
446	0.08883754671
447	0.08874667449
448	0.08861494222
449	0.08847820014
450	0.08838252771
451	0.08826993807
452	0.08810493592
453	0.08797206479
454	0.08781561175
455	0.08769586161
456	0.08758908022
457	0.08745274638
458	0.08737265538
459	0.08726745903
460	0.08711086732
461	0.08702068075
462	0.08693505294
463	0.08682223318
464	0.086696468
465	0.08661142263
466	0.08645800904
467	0.08625666378
468	0.0861305656
469	0.08598010194
470	0.08587657134
471	0.08578945871
472	0.08570587616
473	0.08561645111
474	0.08544400977
475	0.0853017103
476	0.08517510777
477	0.08511609922
478	0.08495890411
479	0.08486845477
480	0.08478406599
481	0.08473653816
482	0.08464404802
483	0.08454237073
484	0.08437642205
485	0.08432079253
486	0.08417960471
487	0.08403995666
488	0.08392603281
489	0.0837558581
490	0.08356387687
491	0.08349075905
492	0.08338149684
493	0.08329235333
494	0.0831499193
495	0.08301030732
496	0.08290058993
497	0.08278708671
498	0.0826228236
499	0.08256387316
